Input Text (Emotion/Intent),Output Text (Motivational Quote)
I feel hopeless.,Even the darkest night will end and the sun will rise. – Victor Hugo
"Honestly, I feel like nobody believes in me",Believe in yourself and all that you are. – Christian D. Larson
i feel like nobody believes in me,Believe in yourself and all that you are. – Christian D. Larson
I don't have enough time,"You will never find time for anything. If you want time, you must make it. – Charles Buxton"
i'm afraid to take risks,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
Sometimes I feel like i don’t see the point anymore,He who has a why to live can bear almost any how. – Friedrich Nietzsche
Sometimes I feel like i don’t see the point anymore,He who has a why to live can bear almost any how. – Friedrich Nietzsche
I don’t see the point anymore.,He who has a why to live can bear almost any how. – Friedrich Nietzsche
i don't know where to begin,The secret of getting ahead is getting started. – Mark Twain
I’m emotionally exhausted.,Sometimes rest is the most productive thing you can do. – Mark Black
"Deep down, I’m emotionally exhausted",Sometimes rest is the most productive thing you can do. – Mark Black
Sometimes I feel like i fear rejection,Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
"Deep down, I feel like nobody believes in me",Believe in yourself and all that you are. – Christian D. Larson
i'm terrified of change,Change is the law of life. – John F. Kennedy
I feel unmotivated,Don’t watch the clock; do what it does. Keep going. – Sam Levenson
i feel like a failure,"Failure is simply the opportunity to begin again, this time more intelligently. – Henry Ford"
Sometimes I feel like i feel like i’ll never succeed,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
I keep comparing myself,Comparison is the thief of joy. – Theodore Roosevelt
I fear rejection,Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
i feel like nobody believes in me,Believe in yourself and all that you are. – Christian D. Larson
"Honestly, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
"Deep down, I’m not talented enough",Hard work beats talent when talent doesn’t work hard. – Tim Notke
i can't let go of the past,Don’t let yesterday take up too much of today. – Will Rogers
"Deep down, I feel like a burden",You are enough just as you are. – Meghan Markle
I fear rejection,Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
"Deep down, I’m not talented enough",Hard work beats talent when talent doesn’t work hard. – Tim Notke
"Honestly, I'm terrified of change",Change is the law of life. – John F. Kennedy
"Honestly, I’m feeling stuck","When you come to the end of your rope, tie a knot and hang on. – Franklin D. Roosevelt"
i'm constantly anxious,"Do not anticipate trouble, or worry about what may never happen. – Benjamin Franklin"
"Deep down, I keep making mistakes",Mistakes are proof that you are trying. – Jennifer Lim
i’m too tired to continue,Energy and persistence conquer all things. – Benjamin Franklin
I don't know where to begin.,The secret of getting ahead is getting started. – Mark Twain
"Honestly, I feel like a burden",You are enough just as you are. – Meghan Markle
"Honestly, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
Sometimes I feel like i’ve lost all hope,"Once you choose hope, anything’s possible. – Christopher Reeve"
"Deep down, I have no confidence","With confidence, you have won before you have started. – Marcus Garvey"
"Honestly, I think I'm not improving",Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
i'm afraid to take risks,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
"Honestly, I’m emotionally exhausted",Sometimes rest is the most productive thing you can do. – Mark Black
"Honestly, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
I'm afraid to take risks.,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
Sometimes I feel like i keep comparing myself,Comparison is the thief of joy. – Theodore Roosevelt
Sometimes I feel like i feel hopeless,Even the darkest night will end and the sun will rise. – Victor Hugo
I feel invisible,Your value doesn’t decrease based on someone’s inability to see your worth. – Unknown
"Honestly, I keep comparing myself",Comparison is the thief of joy. – Theodore Roosevelt
I feel like a burden,You are enough just as you are. – Meghan Markle
"Deep down, I’m too tired to continue",Energy and persistence conquer all things. – Benjamin Franklin
"Deep down, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
I think I'm not improving,Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
I'm terrified of change,Change is the law of life. – John F. Kennedy
I don't know where to begin.,The secret of getting ahead is getting started. – Mark Twain
"Deep down, I keep comparing myself",Comparison is the thief of joy. – Theodore Roosevelt
I keep making mistakes,Mistakes are proof that you are trying. – Jennifer Lim
i’ve lost all hope,"Once you choose hope, anything’s possible. – Christopher Reeve"
Sometimes I feel like i feel unmotivated,Don’t watch the clock; do what it does. Keep going. – Sam Levenson
I’m too tired to continue.,Energy and persistence conquer all things. – Benjamin Franklin
i don't have enough time,"You will never find time for anything. If you want time, you must make it. – Charles Buxton"
Sometimes I feel like i’m not talented enough,Hard work beats talent when talent doesn’t work hard. – Tim Notke
i'm afraid to take risks,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
Sometimes I feel like i have no confidence,"With confidence, you have won before you have started. – Marcus Garvey"
I’m emotionally exhausted.,Sometimes rest is the most productive thing you can do. – Mark Black
"Honestly, I keep making mistakes",Mistakes are proof that you are trying. – Jennifer Lim
I don't have enough time,"You will never find time for anything. If you want time, you must make it. – Charles Buxton"
i’m not talented enough,Hard work beats talent when talent doesn’t work hard. – Tim Notke
I'm afraid to take risks,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
I feel like a failure,"Failure is simply the opportunity to begin again, this time more intelligently. – Henry Ford"
"Honestly, I feel like a failure","Failure is simply the opportunity to begin again, this time more intelligently. – Henry Ford"
I keep comparing myself.,Comparison is the thief of joy. – Theodore Roosevelt
"Deep down, I think I'm not improving",Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
i feel like a failure,"Failure is simply the opportunity to begin again, this time more intelligently. – Henry Ford"
I want to quit everything.,You just can’t beat the person who never gives up. – Babe Ruth
I feel like I’ll never succeed,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
i feel like i’ll never succeed,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
"Deep down, I’m not talented enough",Hard work beats talent when talent doesn’t work hard. – Tim Notke
I feel unmotivated,Don’t watch the clock; do what it does. Keep going. – Sam Levenson
"Deep down, I want to quit everything",You just can’t beat the person who never gives up. – Babe Ruth
"Deep down, I doubt myself constantly",Doubt kills more dreams than failure ever will. – Suzy Kassem
I doubt myself constantly.,Doubt kills more dreams than failure ever will. – Suzy Kassem
Sometimes I feel like i'm overwhelmed by pressure,Pressure is a privilege – it only comes to those who earn it. – Billie Jean King
I’m not talented enough.,Hard work beats talent when talent doesn’t work hard. – Tim Notke
"Honestly, I fear rejection",Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
"Deep down, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
"Honestly, I’m too tired to continue",Energy and persistence conquer all things. – Benjamin Franklin
"Honestly, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
"Honestly, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
Sometimes I feel like i'm afraid to take risks,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
I doubt myself constantly.,Doubt kills more dreams than failure ever will. – Suzy Kassem
"Honestly, I’m emotionally exhausted",Sometimes rest is the most productive thing you can do. – Mark Black
Sometimes I feel like i don't have enough time,"You will never find time for anything. If you want time, you must make it. – Charles Buxton"
I fear rejection,Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
Sometimes I feel like i’m feeling stuck,"When you come to the end of your rope, tie a knot and hang on. – Franklin D. Roosevelt"
"Honestly, I'm overwhelmed by pressure",Pressure is a privilege – it only comes to those who earn it. – Billie Jean King
Sometimes I feel like i’m too tired to continue,Energy and persistence conquer all things. – Benjamin Franklin
i’m feeling stuck,"When you come to the end of your rope, tie a knot and hang on. – Franklin D. Roosevelt"
"Deep down, I'm afraid of what others think",Care about what other people think and you will always be their prisoner. – Lao Tzu
I keep comparing myself.,Comparison is the thief of joy. – Theodore Roosevelt
i'm afraid of what others think,Care about what other people think and you will always be their prisoner. – Lao Tzu
I’m not talented enough,Hard work beats talent when talent doesn’t work hard. – Tim Notke
Sometimes I feel like i keep comparing myself,Comparison is the thief of joy. – Theodore Roosevelt
Sometimes I feel like i’m too tired to continue,Energy and persistence conquer all things. – Benjamin Franklin
Sometimes I feel like i feel like nobody believes in me,Believe in yourself and all that you are. – Christian D. Larson
"Honestly, I think I'm not improving",Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
I feel unmotivated,Don’t watch the clock; do what it does. Keep going. – Sam Levenson
i'm afraid to take risks,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
"Honestly, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
"Deep down, I fear rejection",Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
I feel like a failure,"Failure is simply the opportunity to begin again, this time more intelligently. – Henry Ford"
"Honestly, I fear rejection",Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
"Honestly, I feel like a failure","Failure is simply the opportunity to begin again, this time more intelligently. – Henry Ford"
I'm overwhelmed by pressure,Pressure is a privilege – it only comes to those who earn it. – Billie Jean King
"Deep down, I feel like a burden",You are enough just as you are. – Meghan Markle
I'm terrified of change,Change is the law of life. – John F. Kennedy
I feel like I’ll never succeed.,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
I keep comparing myself.,Comparison is the thief of joy. – Theodore Roosevelt
"Honestly, I don't know where to begin",The secret of getting ahead is getting started. – Mark Twain
Nothing is working.,Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
I'm afraid of what others think,Care about what other people think and you will always be their prisoner. – Lao Tzu
I'm constantly anxious.,"Do not anticipate trouble, or worry about what may never happen. – Benjamin Franklin"
Sometimes I feel like nothing is working,Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
"Deep down, I’m emotionally exhausted",Sometimes rest is the most productive thing you can do. – Mark Black
I feel like nobody believes in me,Believe in yourself and all that you are. – Christian D. Larson
"Deep down, I don't know where to begin",The secret of getting ahead is getting started. – Mark Twain
I'm terrified of change,Change is the law of life. – John F. Kennedy
I feel invisible.,Your value doesn’t decrease based on someone’s inability to see your worth. – Unknown
"Deep down, I’m too tired to continue",Energy and persistence conquer all things. – Benjamin Franklin
I'm constantly anxious.,"Do not anticipate trouble, or worry about what may never happen. – Benjamin Franklin"
i'm afraid of what others think,Care about what other people think and you will always be their prisoner. – Lao Tzu
I want to quit everything,You just can’t beat the person who never gives up. – Babe Ruth
"Deep down, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
i'm afraid of what others think,Care about what other people think and you will always be their prisoner. – Lao Tzu
Sometimes I feel like i’m emotionally exhausted,Sometimes rest is the most productive thing you can do. – Mark Black
"Honestly, I have no confidence","With confidence, you have won before you have started. – Marcus Garvey"
"Honestly, I'm terrified of change",Change is the law of life. – John F. Kennedy
"Honestly, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
I keep comparing myself.,Comparison is the thief of joy. – Theodore Roosevelt
I'm afraid of what others think.,Care about what other people think and you will always be their prisoner. – Lao Tzu
"Deep down, I have no confidence","With confidence, you have won before you have started. – Marcus Garvey"
Sometimes I feel like i'm afraid of what others think,Care about what other people think and you will always be their prisoner. – Lao Tzu
I’m too tired to continue.,Energy and persistence conquer all things. – Benjamin Franklin
Sometimes I feel like i can't let go of the past,Don’t let yesterday take up too much of today. – Will Rogers
"Honestly, I’ve lost all hope","Once you choose hope, anything’s possible. – Christopher Reeve"
"Deep down, I think I'm not improving",Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
I have no confidence,"With confidence, you have won before you have started. – Marcus Garvey"
Nothing is working.,Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
I’m not talented enough.,Hard work beats talent when talent doesn’t work hard. – Tim Notke
"Deep down, I doubt myself constantly",Doubt kills more dreams than failure ever will. – Suzy Kassem
"Honestly, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
"Deep down, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
I’ve lost all hope,"Once you choose hope, anything’s possible. – Christopher Reeve"
i'm terrified of change,Change is the law of life. – John F. Kennedy
Sometimes I feel like i’m emotionally exhausted,Sometimes rest is the most productive thing you can do. – Mark Black
I don't have enough time,"You will never find time for anything. If you want time, you must make it. – Charles Buxton"
Sometimes I feel like i fear rejection,Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
i feel like a failure,"Failure is simply the opportunity to begin again, this time more intelligently. – Henry Ford"
"Deep down, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
"Deep down, I feel invisible",Your value doesn’t decrease based on someone’s inability to see your worth. – Unknown
Sometimes I feel like i fear rejection,Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
nothing is working,Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
i'm afraid of what others think,Care about what other people think and you will always be their prisoner. – Lao Tzu
Sometimes I feel like i have no confidence,"With confidence, you have won before you have started. – Marcus Garvey"
I keep comparing myself,Comparison is the thief of joy. – Theodore Roosevelt
"Honestly, I’m not talented enough",Hard work beats talent when talent doesn’t work hard. – Tim Notke
"Honestly, I feel like a burden",You are enough just as you are. – Meghan Markle
i feel hopeless,Even the darkest night will end and the sun will rise. – Victor Hugo
I'm terrified of change,Change is the law of life. – John F. Kennedy
"Honestly, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
I feel unmotivated,Don’t watch the clock; do what it does. Keep going. – Sam Levenson
"Honestly, Nothing is working",Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
I'm afraid to take risks.,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
Sometimes I feel like i'm constantly anxious,"Do not anticipate trouble, or worry about what may never happen. – Benjamin Franklin"
I doubt myself constantly,Doubt kills more dreams than failure ever will. – Suzy Kassem
I'm afraid to take risks.,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
Nothing is working,Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
Sometimes I feel like i feel hopeless,Even the darkest night will end and the sun will rise. – Victor Hugo
Sometimes I feel like i’m emotionally exhausted,Sometimes rest is the most productive thing you can do. – Mark Black
Sometimes I feel like i want to quit everything,You just can’t beat the person who never gives up. – Babe Ruth
I have no confidence.,"With confidence, you have won before you have started. – Marcus Garvey"
"Honestly, I fear rejection",Rejection is merely a redirection; a course correction to your destiny. – Bryant McGill
I'm afraid of what others think.,Care about what other people think and you will always be their prisoner. – Lao Tzu
"Honestly, I feel unmotivated",Don’t watch the clock; do what it does. Keep going. – Sam Levenson
Sometimes I feel like i want to quit everything,You just can’t beat the person who never gives up. – Babe Ruth
"Honestly, I’m too tired to continue",Energy and persistence conquer all things. – Benjamin Franklin
"Honestly, I feel like a burden",You are enough just as you are. – Meghan Markle
i don't have enough time,"You will never find time for anything. If you want time, you must make it. – Charles Buxton"
I’ve lost all hope.,"Once you choose hope, anything’s possible. – Christopher Reeve"
I can't let go of the past,Don’t let yesterday take up too much of today. – Will Rogers
I’m not talented enough,Hard work beats talent when talent doesn’t work hard. – Tim Notke
"Honestly, I'm afraid of what others think",Care about what other people think and you will always be their prisoner. – Lao Tzu
I don't know where to begin,The secret of getting ahead is getting started. – Mark Twain
"Deep down, I'm afraid to take risks",Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
I don't know where to begin,The secret of getting ahead is getting started. – Mark Twain
I feel like I’ll never succeed,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
I feel like a burden,You are enough just as you are. – Meghan Markle
i'm overwhelmed by pressure,Pressure is a privilege – it only comes to those who earn it. – Billie Jean King
"Honestly, I feel hopeless",Even the darkest night will end and the sun will rise. – Victor Hugo
I feel like I’ll never succeed.,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
i feel like i’ll never succeed,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
"Honestly, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
"Deep down, I feel like nobody believes in me",Believe in yourself and all that you are. – Christian D. Larson
I’m scared to fail.,Don’t be afraid to give up the good to go for the great. – John D. Rockefeller
I have no confidence,"With confidence, you have won before you have started. – Marcus Garvey"
"Honestly, I’m too tired to continue",Energy and persistence conquer all things. – Benjamin Franklin
I'm terrified of change.,Change is the law of life. – John F. Kennedy
I'm overwhelmed by pressure.,Pressure is a privilege – it only comes to those who earn it. – Billie Jean King
Sometimes I feel like i think i'm not improving,Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
i don't have enough time,"You will never find time for anything. If you want time, you must make it. – Charles Buxton"
"Deep down, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
"Honestly, I feel like a burden",You are enough just as you are. – Meghan Markle
"Deep down, I don’t see the point anymore",He who has a why to live can bear almost any how. – Friedrich Nietzsche
"Honestly, I keep making mistakes",Mistakes are proof that you are trying. – Jennifer Lim
Sometimes I feel like i keep comparing myself,Comparison is the thief of joy. – Theodore Roosevelt
i doubt myself constantly,Doubt kills more dreams than failure ever will. – Suzy Kassem
"Honestly, I can't let go of the past",Don’t let yesterday take up too much of today. – Will Rogers
i'm afraid to take risks,Only those who will risk going too far can possibly find out how far one can go. – T.S. Eliot
nothing is working,Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
"Deep down, I feel like nobody believes in me",Believe in yourself and all that you are. – Christian D. Larson
"Deep down, I’m feeling stuck","When you come to the end of your rope, tie a knot and hang on. – Franklin D. Roosevelt"
nothing is working,Success is stumbling from failure to failure with no loss of enthusiasm. – Winston Churchill
i'm overwhelmed by pressure,Pressure is a privilege – it only comes to those who earn it. – Billie Jean King
i feel like a burden,You are enough just as you are. – Meghan Markle
Sometimes I feel like i doubt myself constantly,Doubt kills more dreams than failure ever will. – Suzy Kassem
Sometimes I feel like i don't know where to begin,The secret of getting ahead is getting started. – Mark Twain
i'm afraid of what others think,Care about what other people think and you will always be their prisoner. – Lao Tzu
Sometimes I feel like i’ve lost all hope,"Once you choose hope, anything’s possible. – Christopher Reeve"
I feel like nobody believes in me.,Believe in yourself and all that you are. – Christian D. Larson
I feel like I’ll never succeed,Many of life’s failures are people who did not realize how close they were to success when they gave up. – Thomas Edison
Sometimes I feel like i think i'm not improving,Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
i think i'm not improving,Strength doesn’t come from what you can do. It comes from overcoming the things you once thought you couldn’t. – Rikki Rogers
I feel like a burden.,You are enough just as you are. – Meghan Markle
